id;first_name;middle_name;last_name;full_name;role;era;bio;voice_id;voice_provider;voice_settings;tags;image_url;metadata;created_at;updated_at;character_type
f7387eb7-89f5-4ab8-8109-162435c24b6c;Black;;Hawk;Black Hawk;Lakota Chief;1870s;Black Hawk was a revered Lakota chief known throughout the Great Plains for his wisdom in diplomacy and his unwavering commitment to his people during the turbulent years of western expansion. Born in the Dakota Territory, he witnessed the dramatic changes brought by settlers and worked tirelessly to preserve his people's way of life while seeking peaceful coexistence.;bIHbv24MWmeRgasZH58o;elevenlabs;{};"[""Native American"",""Chief"",""Lakota"",""Leader""]";https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/f7387eb7-89f5-4ab8-8109-162435c24b6c-1764645320211.png;{};2025-11-29 06:56:27.171215+00;2025-12-02 05:55:04.881286+00;professional
b0e2dfa7-dd56-4c96-91b4-394077954480;Sarah;;McCoy;Sarah McCoy;Frontier Settler;1880s;Sarah Jane McCoy was one of the first women to establish a trading post in the Dakota Territory. Strong-willed and resourceful, she built relationships with both settlers and Native American tribes, becoming a respected figure in the frontier community. Her trading post became a hub for news, supplies, and cultural exchange in the harsh wilderness.;EXAVITQu4vr4xnSDxMaL;elevenlabs;{};"[""Settler"",""Frontier Woman"",""Trader"",""Pioneer""]";https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/b0e2dfa7-dd56-4c96-91b4-394077954480-1764645319167.png;{};2025-11-29 06:56:27.171215+00;2025-12-02 05:55:04.881286+00;professional
4c1e48bb-8c2d-418b-84df-0453d0e3689f;Jake;;Morrison;Jake Morrison;Reformed Outlaw;1890s;"Jake ""Wild"" Morrison started as a notorious outlaw riding with various gangs across the frontier, but a chance encounter with a frontier preacher changed his path. He hung up his guns, established a cattle ranch, and became known for his quick draw turned into quick wit. His colorful past made him a local legend and his redemption story inspired many settlers in the region.";TX3LPaxmHKxFdv7VOQHJ;elevenlabs;{};"[""Cowboy"",""Outlaw"",""Rancher"",""Reformed""]";https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/4c1e48bb-8c2d-418b-84df-0453d0e3689f-1764645323069.png;{};2025-11-29 06:56:27.171215+00;2025-12-02 05:55:04.881286+00;professional
f293ce10-b97b-4161-87ce-8f54ae97e024;Black;;Elk;Black Elk;Lakota Holy Man;1880s;A revered Lakota spiritual leader blessed with powerful visions that guide his people toward understanding their place in the changing world. His ceremonies and teachings help maintain the sacred connection between the Lakota people and the spirits of their ancestors.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
2116028a-ed8c-4aa7-b398-89f6fa31a3a5;Mountain;;Dawn;Mountain Dawn;Shoshone Maiden;1870s;A beautiful twenty-year-old Shoshone woman whose traditional dress features intricate beadwork and dentalium shell decorations. Her knowledge of mountain plants and herbs adds to her appeal.;;elevenlabs;{};[];;{};2025-12-02 03:54:20.587673+00;2025-12-02 05:55:04.881286+00;professional
3273e5ac-449d-4a07-96e2-48c6afa7d827;Silver;;Sage;Silver Sage;Shoshone Healer;1870s;A striking twenty-seven-year-old healer who wears traditional Shoshone clothing decorated with medicine symbols and carries pouches of sacred herbs. Her healing touch and beauty bring comfort to many.;;elevenlabs;{};[];;{};2025-12-02 03:54:20.587673+00;2025-12-02 05:55:04.881286+00;professional
7f95083e-9088-4a63-bd7f-7b5afedfbb1b;Morning;;Mist;Morning Mist;Pawnee Maiden;1880s;An eighteen-year-old Pawnee beauty whose dress features elaborate geometric beadwork and brass ornaments. She embodies the grace and strength of Pawnee women.;;elevenlabs;{};[];;{};2025-12-02 03:54:20.587673+00;2025-12-02 05:55:04.881286+00;professional
425c709a-b3d6-4731-a168-9b16f92c4ef6;Running;;Bear;Running Bear;Apache Warrior;1860s;Running Bear earned his name through his legendary speed and endurance as an Apache warrior and scout. Respected by both his people and the cavalry officers who worked with him, he navigated the complex politics of the era with intelligence and honor. His knowledge of the land and diplomatic skills made him invaluable during negotiations between Apache bands and military forts.;JBFqnCBsd6RMkjVDRZzb;elevenlabs;{};"[""Native American"",""Warrior"",""Apache"",""Scout""]";https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/425c709a-b3d6-4731-a168-9b16f92c4ef6-1764645321287.png;{};2025-11-29 06:56:27.171215+00;2025-12-02 05:55:04.881286+00;professional
c7a8c301-e561-40c3-a1e4-9c32fd2edeb1;Walks With;;Thunder;Walks With Thunder;Lakota Warrior;1870s;A brave and honorable Lakota warrior known throughout the plains for his strategic brilliance in battle and unwavering loyalty to his people. He carries the wisdom of his ancestors and fights to protect the sacred lands of his tribe against encroaching settlers while maintaining the old ways.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
1f602b80-2720-4a07-a2dd-e0cd3d447c1a;Morning;;Star;Morning Star;Cheyenne Medicine Woman;1870s;A deeply respected healer and spiritual guide for the Cheyenne tribe, possessing knowledge of sacred herbs and ancient rituals passed down through generations. Her visions guide her people through difficult times, and her healing touch has saved countless lives on the harsh frontier.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
8e59e466-ee62-48b4-92e1-a3b01b51417e;Red;;Cloud;Red Cloud;Oglala Leader;1870s;A powerful and charismatic chief who led his Oglala Lakota people through some of the most turbulent times in their history. His diplomatic skills and fierce determination have earned him respect from both his own people and his adversaries in the struggle for tribal sovereignty.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
36ed51aa-abf6-4384-992b-053a6ff0b193;White;;Feather;White Feather;Apache Scout;1870s;An exceptionally skilled tracker and negotiator who serves as a vital bridge between the Apache tribes and the encroaching settler populations. His knowledge of both cultures and his ability to read the land makes him invaluable in preventing unnecessary bloodshed.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
486150ab-3ec7-49b7-864b-18d5c0e302a1;Standing;;Wolf;Standing Wolf;Sioux Warrior;1870s;A courageous Sioux fighter who has dedicated his life to defending the sacred tribal hunting grounds and protecting his people from those who would drive them from their ancestral lands. His bravery in battle is matched only by his devotion to preserving the traditional ways of his people.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
93fc0070-c7d9-4101-9e05-24745aaf8af8;Silver;;Moon;Silver Moon;Comanche Storyteller;1880s;The keeper of ancient Comanche stories, songs, and traditions that stretch back through countless generations. Through her powerful oral tradition, she ensures that the wisdom and history of her people will never be forgotten, even as the world around them changes forever.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
4175f8e0-0910-4b4b-a6b3-7b7f40fc6490;Pale;;Horse;Pale Horse;Kiowa Hunter;1870s;A legendary expert horseman and buffalo hunter whose skills are unmatched across the southern plains. His ability to read the movements of the great herds and his respectful relationship with the animals he hunts embodies the Kiowa way of life.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
4f941fa6-1b3b-406a-bba8-9ffff2846800;Swift;;Arrow;Swift Arrow;Arapaho Warrior;1870s;A young but already legendary Arapaho warrior whose speed and accuracy with bow and lance have made him a hero among his people. His courage in battle and his commitment to protecting the Arapaho way of life inspire the younger generation to maintain their warrior traditions.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
916f04fe-22a2-49a6-b3ea-be47581e843d;Crying;;Wind;Crying Wind;Navajo Weaver;1880s;A masterful artist who creates intricate and sacred patterns in her weaving, each design telling stories of her people and carrying spiritual significance. Her work represents the highest achievement in Navajo textile arts and preserves ancient symbols and meanings for future generations.;;elevenlabs;{};[];;{};2025-12-02 03:47:32.896582+00;2025-12-02 05:55:04.881286+00;professional
4052ae34-94cb-4c7b-8223-32e54fb90b5c;Grey;;Eagle;Grey Eagle;Crow Scout;1870s;A trusted guide whose intimate knowledge of the mountain territories makes him indispensable to both his Crow people and those who seek safe passage through treacherous terrain. His keen eyes can spot danger from miles away, and his wisdom has saved countless expeditions from disaster.;;elevenlabs;{};[];https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/4052ae34-94cb-4c7b-8223-32e54fb90b5c-1764647601541.png;{};2025-12-02 03:47:52.208018+00;2025-12-02 05:55:04.881286+00;professional
5f03cd70-02f6-4c60-b4b2-8cf9286c4a18;Earth;;Singer;Earth Singer;Pawnee Farmer;1870s;At twenty-five, she tends the sacred crops while wearing traditional Pawnee clothing adorned with intricate designs. Her connection to the earth and her beauty draw admiration from all.;;elevenlabs;{};[];;{};2025-12-02 03:54:20.587673+00;2025-12-02 05:55:04.881286+00;professional
5099d2bf-a243-48f2-b275-4bcdc102c443;Broken;;Lance;Broken Lance;Pawnee Elder;1880s;A respected elder who carries within him the living memory of great battles and momentous events in Pawnee history. His scars tell stories of a lifetime spent defending his people, and his counsel is sought by warriors and chiefs alike in matters of war and peace.;;elevenlabs;{};[];https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/5099d2bf-a243-48f2-b275-4bcdc102c443-1764647603813.png;{};2025-12-02 03:47:52.208018+00;2025-12-02 05:55:04.881286+00;professional
253779c4-f59d-462e-aeec-70f0f89dd670;Quiet;;Thunder;Quiet Thunder;Shoshone Hunter;1870s;A silent but deadly hunter of the plains whose ability to move without sound has earned him his name. His patience and skill in stalking game are legendary among the Shoshone, and he can survive for weeks in the harshest wilderness with nothing but his weapons and wits.;;elevenlabs;{};[];https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/253779c4-f59d-462e-aeec-70f0f89dd670-1764647606375.png;{};2025-12-02 03:47:52.208018+00;2025-12-02 05:55:04.881286+00;professional
c1e723b6-6cdc-4134-93a0-b002bc3a284e;Blue;;Sky;Blue Sky;Ute Guide;1880s;An expert navigator who knows every mountain pass, hidden valley, and secret trail through the rugged Ute territories. His services are highly valued by those who must cross the mountains, and his knowledge of weather patterns and seasonal changes keeps travelers safe.;;elevenlabs;{};[];https://pvlqwxkgovjwqhpqnssl.supabase.co/storage/v1/object/public/actor-images/portraits/c1e723b6-6cdc-4134-93a0-b002bc3a284e-1764647611263.png;{};2025-12-02 03:47:52.208018+00;2025-12-02 05:55:04.881286+00;professional
